Año,par,reporterDesc,partnerDesc,cmdCode,cmdDesc,Valor Total (USD)
1994,CA_MX,Canada,Mexico,TOTAL,All Commodities,769225683.0
1995,CA_MX,Canada,Mexico,TOTAL,All Commodities,845938585.0
1996,CA_MX,Canada,Mexico,TOTAL,All Commodities,923302718.0
1997,CA_MX,Canada,Mexico,TOTAL,All Commodities,959363662.0
1998,CA_MX,Canada,Mexico,TOTAL,All Commodities,980349248.0
1999,CA_MX,Canada,Mexico,TOTAL,All Commodities,1098985105.0
2000,CA_MX,Canada,Mexico,TOTAL,All Commodities,1367885395.0
2001,CA_MX,Canada,Mexico,TOTAL,All Commodities,1779820773.0
2002,CA_MX,Canada,Mexico,TOTAL,All Commodities,1542258317.0
2003,CA_MX,Canada,Mexico,TOTAL,All Commodities,1580227703.0
2004,CA_MX,Canada,Mexico,TOTAL,All Commodities,2382389449.0
2005,CA_MX,Canada,Mexico,TOTAL,All Commodities,2781853783.0
2006,CA_MX,Canada,Mexico,TOTAL,All Commodities,3858046470.0
2007,CA_MX,Canada,Mexico,TOTAL,All Commodities,4625052374.0
2008,CA_MX,Canada,Mexico,TOTAL,All Commodities,5517021132.0
2009,CA_MX,Canada,Mexico,TOTAL,All Commodities,4220206046.0
2010,CA_MX,Canada,Mexico,TOTAL,All Commodities,4865217000.0
2011,CA_MX,Canada,Mexico,TOTAL,All Commodities,5529808601.0
2012,CA_MX,Canada,Mexico,TOTAL,All Commodities,5391279628.0
2013,CA_MX,Canada,Mexico,TOTAL,All Commodities,5277964898.0
2014,CA_MX,Canada,Mexico,TOTAL,All Commodities,5111183708.0
2015,CA_MX,Canada,Mexico,TOTAL,All Commodities,5160410312.544
2016,CA_MX,Canada,Mexico,TOTAL,All Commodities,5758982841.5
2017,CA_MX,Canada,Mexico,TOTAL,All Commodities,6053378693.399
2018,CA_MX,Canada,Mexico,TOTAL,All Commodities,6343708263.402
2019,CA_MX,Canada,Mexico,TOTAL,All Commodities,5519022903.954
2020,CA_MX,Canada,Mexico,TOTAL,All Commodities,4589401161.153
2021,CA_MX,Canada,Mexico,TOTAL,All Commodities,6542711212.627
2022,CA_MX,Canada,Mexico,TOTAL,All Commodities,6993707722.004
2023,CA_MX,Canada,Mexico,TOTAL,All Commodities,6571267868.285
2024,CA_MX,Canada,Mexico,TOTAL,All Commodities,6327195023.274
2025,CA_MX,Canada,Mexico,TOTAL,All Commodities,6436161056.963
