Año,par,reporterDesc,partnerDesc,cmdCode,cmdDesc,Valor Total (USD)
1994,CA_USA,Canada,USA,TOTAL,All Commodities,135879604665.0
1995,CA_USA,Canada,USA,TOTAL,All Commodities,151400303519.0
1996,CA_USA,Canada,USA,TOTAL,All Commodities,161108658648.0
1997,CA_USA,Canada,USA,TOTAL,All Commodities,176882020091.0
1998,CA_USA,Canada,USA,TOTAL,All Commodities,181853782016.0
1999,CA_USA,Canada,USA,TOTAL,All Commodities,205020266109.0
2000,CA_USA,Canada,USA,TOTAL,All Commodities,241728902383.0
2001,CA_USA,Canada,USA,TOTAL,All Commodities,227244274618.0
2002,CA_USA,Canada,USA,TOTAL,All Commodities,220072350612.0
2003,CA_USA,Canada,USA,TOTAL,All Commodities,233380458062.0
2004,CA_USA,Canada,USA,TOTAL,All Commodities,267804199912.0
2005,CA_USA,Canada,USA,TOTAL,All Commodities,302195424326.0
2006,CA_USA,Canada,USA,TOTAL,All Commodities,316556507486.0
2007,CA_USA,Canada,USA,TOTAL,All Commodities,331601972053.0
2008,CA_USA,Canada,USA,TOTAL,All Commodities,353782674814.0
2009,CA_USA,Canada,USA,TOTAL,All Commodities,236480911520.0
2010,CA_USA,Canada,USA,TOTAL,All Commodities,289418958592.0
2011,CA_USA,Canada,USA,TOTAL,All Commodities,331755015916.0
2012,CA_USA,Canada,USA,TOTAL,All Commodities,338260042786.0
2013,CA_USA,Canada,USA,TOTAL,All Commodities,346035155104.0
2014,CA_USA,Canada,USA,TOTAL,All Commodities,364959373160.0
2015,CA_USA,Canada,USA,TOTAL,All Commodities,313544845513.607
2016,CA_USA,Canada,USA,TOTAL,All Commodities,296440401327.459
2017,CA_USA,Canada,USA,TOTAL,All Commodities,318570259928.872
2018,CA_USA,Canada,USA,TOTAL,All Commodities,337466428749.683
2019,CA_USA,Canada,USA,TOTAL,All Commodities,335692358007.925
2020,CA_USA,Canada,USA,TOTAL,All Commodities,284355495291.36
2021,CA_USA,Canada,USA,TOTAL,All Commodities,377934303810.207
2022,CA_USA,Canada,USA,TOTAL,All Commodities,458789598827.358
2023,CA_USA,Canada,USA,TOTAL,All Commodities,438650206291.982
2024,CA_USA,Canada,USA,TOTAL,All Commodities,434348739058.94
2025,CA_USA,Canada,USA,TOTAL,All Commodities,408988682897.227
