Año,par,reporterDesc,partnerDesc,cmdCode,cmdDesc,Valor Total (USD)
1994,CA_W,Canada,World,TOTAL,All Commodities,166254534830.0
1995,CA_W,Canada,World,TOTAL,All Commodities,191117744151.0
1996,CA_W,Canada,World,TOTAL,All Commodities,202262551209.0
1997,CA_W,Canada,World,TOTAL,All Commodities,216037338607.0
1998,CA_W,Canada,World,TOTAL,All Commodities,214606348288.0
1999,CA_W,Canada,World,TOTAL,All Commodities,238778007509.0
2000,CA_W,Canada,World,TOTAL,All Commodities,277419920540.0
2001,CA_W,Canada,World,TOTAL,All Commodities,261058774883.0
2002,CA_W,Canada,World,TOTAL,All Commodities,252584259640.0
2003,CA_W,Canada,World,TOTAL,All Commodities,272229685914.0
2004,CA_W,Canada,World,TOTAL,All Commodities,317161191588.0
2005,CA_W,Canada,World,TOTAL,All Commodities,360552446268.0
2006,CA_W,Canada,World,TOTAL,All Commodities,388178675701.0
2007,CA_W,Canada,World,TOTAL,All Commodities,419881603949.0
2008,CA_W,Canada,World,TOTAL,All Commodities,455632184179.0
2009,CA_W,Canada,World,TOTAL,All Commodities,315176831385.0
2010,CA_W,Canada,World,TOTAL,All Commodities,386579899704.0
2011,CA_W,Canada,World,TOTAL,All Commodities,450430007647.0
2012,CA_W,Canada,World,TOTAL,All Commodities,454098967492.0
2013,CA_W,Canada,World,TOTAL,All Commodities,456598271021.0
2014,CA_W,Canada,World,TOTAL,All Commodities,475177176344.0
2015,CA_W,Canada,World,TOTAL,All Commodities,408697323603.511
2016,CA_W,Canada,World,TOTAL,All Commodities,388853141939.71
2017,CA_W,Canada,World,TOTAL,All Commodities,420074382189.806
2018,CA_W,Canada,World,TOTAL,All Commodities,450392396468.983
2019,CA_W,Canada,World,TOTAL,All Commodities,445513105927.581
2020,CA_W,Canada,World,TOTAL,All Commodities,388173370601.212
2021,CA_W,Canada,World,TOTAL,All Commodities,501623466672.538
2022,CA_W,Canada,World,TOTAL,All Commodities,599941807666.279
2023,CA_W,Canada,World,TOTAL,All Commodities,567344538003.471
2024,CA_W,Canada,World,TOTAL,All Commodities,569285839778.316
2025,CA_W,Canada,World,TOTAL,All Commodities,563980718072.159
