Año,par,reporterDesc,partnerDesc,cmdCode,cmdDesc,Valor Total (USD)
1994,MX_CA,Canada,Mexico,TOTAL,All Commodities,3274242582.0
1995,MX_CA,Canada,Mexico,TOTAL,All Commodities,3900738627.0
1996,MX_CA,Canada,Mexico,TOTAL,All Commodities,4427130282.0
1997,MX_CA,Canada,Mexico,TOTAL,All Commodities,5067969679.0
1998,MX_CA,Canada,Mexico,TOTAL,All Commodities,5174450688.0
1999,MX_CA,Canada,Mexico,TOTAL,All Commodities,6423819184.0
2000,MX_CA,Canada,Mexico,TOTAL,All Commodities,8141998568.0
2001,MX_CA,Canada,Mexico,TOTAL,All Commodities,7830572137.0
2002,MX_CA,Canada,Mexico,TOTAL,All Commodities,8123439703.0
2003,MX_CA,Canada,Mexico,TOTAL,All Commodities,8717559803.0
2004,MX_CA,Canada,Mexico,TOTAL,All Commodities,10339012514.0
2005,MX_CA,Canada,Mexico,TOTAL,All Commodities,12049994572.0
2006,MX_CA,Canada,Mexico,TOTAL,All Commodities,14131523790.0
2007,MX_CA,Canada,Mexico,TOTAL,All Commodities,16050278775.0
2008,MX_CA,Canada,Mexico,TOTAL,All Commodities,16857733836.0
2009,MX_CA,Canada,Mexico,TOTAL,All Commodities,14531602919.0
2010,MX_CA,Canada,Mexico,TOTAL,All Commodities,21465147374.0
2011,MX_CA,Canada,Mexico,TOTAL,All Commodities,24813962892.0
2012,MX_CA,Canada,Mexico,TOTAL,All Commodities,25535745171.0
2013,MX_CA,Canada,Mexico,TOTAL,All Commodities,25919403862.0
2014,MX_CA,Canada,Mexico,TOTAL,All Commodities,26070727451.0
2015,MX_CA,Canada,Mexico,TOTAL,All Commodities,24410295004.262
2016,MX_CA,Canada,Mexico,TOTAL,All Commodities,25040059430.333
2017,MX_CA,Canada,Mexico,TOTAL,All Commodities,27345826480.015
2018,MX_CA,Canada,Mexico,TOTAL,All Commodities,28399907224.065
2019,MX_CA,Canada,Mexico,TOTAL,All Commodities,27880073546.062
2020,MX_CA,Canada,Mexico,TOTAL,All Commodities,22335565002.927
2021,MX_CA,Canada,Mexico,TOTAL,All Commodities,27030749887.621
2022,MX_CA,Canada,Mexico,TOTAL,All Commodities,31821210195.02
2023,MX_CA,Canada,Mexico,TOTAL,All Commodities,34224211966.739
2024,MX_CA,Canada,Mexico,TOTAL,All Commodities,34596494187.766
2025,MX_CA,Canada,Mexico,TOTAL,All Commodities,38584876651.202
