Año,par,reporterDesc,partnerDesc,cmdCode,cmdDesc,Valor Total (USD)
1994,MX_USA,Mexico,USA,TOTAL,All Commodities,51198156800.0
1995,MX_USA,Mexico,USA,TOTAL,All Commodities,66338807808.0
1996,MX_USA,Mexico,USA,TOTAL,All Commodities,79771336704.0
1997,MX_USA,Mexico,USA,TOTAL,All Commodities,93018726400.0
1998,MX_USA,Mexico,USA,TOTAL,All Commodities,101926633472.0
1999,MX_USA,Mexico,USA,TOTAL,All Commodities,120455061504.0
2000,MX_USA,Mexico,USA,TOTAL,All Commodities,146599589178.0
2001,MX_USA,Mexico,USA,TOTAL,All Commodities,136373541736.0
2002,MX_USA,Mexico,USA,TOTAL,All Commodities,137963057176.0
2003,MX_USA,Mexico,USA,TOTAL,All Commodities,144696717331.0
2004,MX_USA,Mexico,USA,TOTAL,All Commodities,166533178158.0
2005,MX_USA,Mexico,USA,TOTAL,All Commodities,183837712957.0
2006,MX_USA,Mexico,USA,TOTAL,All Commodities,212131772801.0
2007,MX_USA,Mexico,USA,TOTAL,All Commodities,223387835367.0
2008,MX_USA,Mexico,USA,TOTAL,All Commodities,233793947984.0
2009,MX_USA,Mexico,USA,TOTAL,All Commodities,185448518572.0
2010,MX_USA,Mexico,USA,TOTAL,All Commodities,238858911632.0
2011,MX_USA,Mexico,USA,TOTAL,All Commodities,274720112774.0
2012,MX_USA,Mexico,USA,TOTAL,All Commodities,288176389334.0
2013,MX_USA,Mexico,USA,TOTAL,All Commodities,299486780900.0
2014,MX_USA,Mexico,USA,TOTAL,All Commodities,318652628159.0
2015,MX_USA,Mexico,USA,TOTAL,All Commodities,309174108183.0
2016,MX_USA,Mexico,USA,TOTAL,All Commodities,302908586906.0
2017,MX_USA,Mexico,USA,TOTAL,All Commodities,327215244206.0
2018,MX_USA,Mexico,USA,TOTAL,All Commodities,356892496771.0
2019,MX_USA,Mexico,USA,TOTAL,All Commodities,358638540188.0
2020,MX_USA,Mexico,USA,TOTAL,All Commodities,330433645675.0
2021,MX_USA,Mexico,USA,TOTAL,All Commodities,386168159696.0
2022,MX_USA,Mexico,USA,TOTAL,All Commodities,454414164985.0
2023,MX_USA,Mexico,USA,TOTAL,All Commodities,475203155269.0
2024,MX_USA,Mexico,USA,TOTAL,All Commodities,503418271236.0
2025,MX_USA,Mexico,USA,TOTAL,All Commodities,545387805906.0
