Año,par,reporterDesc,partnerDesc,cmdCode,cmdDesc,Valor Total (USD)
1994,MX_W,Mexico,World,TOTAL,All Commodities,60618563584.0
1995,MX_W,Mexico,World,TOTAL,All Commodities,79540658176.0
1996,MX_W,Mexico,World,TOTAL,All Commodities,95661170688.0
1997,MX_W,Mexico,World,TOTAL,All Commodities,110046904320.0
1998,MX_W,Mexico,World,TOTAL,All Commodities,117325348864.0
1999,MX_W,Mexico,World,TOTAL,All Commodities,136262811648.0
2000,MX_W,Mexico,World,TOTAL,All Commodities,166294339530.0
2001,MX_W,Mexico,World,TOTAL,All Commodities,158386216926.0
2002,MX_W,Mexico,World,TOTAL,All Commodities,160750540171.0
2003,MX_W,Mexico,World,TOTAL,All Commodities,164906508836.0
2004,MX_W,Mexico,World,TOTAL,All Commodities,187980442491.0
2005,MX_W,Mexico,World,TOTAL,All Commodities,214207305610.0
2006,MX_W,Mexico,World,TOTAL,All Commodities,249960545529.0
2007,MX_W,Mexico,World,TOTAL,All Commodities,271821215424.0
2008,MX_W,Mexico,World,TOTAL,All Commodities,291264808810.0
2009,MX_W,Mexico,World,TOTAL,All Commodities,229712337305.0
2010,MX_W,Mexico,World,TOTAL,All Commodities,298305075136.0
2011,MX_W,Mexico,World,TOTAL,All Commodities,349326581717.0
2012,MX_W,Mexico,World,TOTAL,All Commodities,370706658359.0
2013,MX_W,Mexico,World,TOTAL,All Commodities,379949273136.0
2014,MX_W,Mexico,World,TOTAL,All Commodities,396890473226.0
2015,MX_W,Mexico,World,TOTAL,All Commodities,380556088682.0
2016,MX_W,Mexico,World,TOTAL,All Commodities,373953613840.0
2017,MX_W,Mexico,World,TOTAL,All Commodities,409396272990.0
2018,MX_W,Mexico,World,TOTAL,All Commodities,450683646625.0
2019,MX_W,Mexico,World,TOTAL,All Commodities,460603695808.0
2020,MX_W,Mexico,World,TOTAL,All Commodities,416982170486.0
2021,MX_W,Mexico,World,TOTAL,All Commodities,494460765005.0
2022,MX_W,Mexico,World,TOTAL,All Commodities,579814827943.0
2023,MX_W,Mexico,World,TOTAL,All Commodities,595972772664.0
2024,MX_W,Mexico,World,TOTAL,All Commodities,619655435118.0
2025,MX_W,Mexico,World,TOTAL,All Commodities,665934159184.0
