Año,par,reporterDesc,partnerDesc,cmdCode,cmdDesc,Valor Total (USD)
1994,USA_CA,Canada,USA,TOTAL,All Commodities,100226298907.0
1995,USA_CA,Canada,USA,TOTAL,All Commodities,109809913905.0
1996,USA_CA,Canada,USA,TOTAL,All Commodities,114535724238.0
1997,USA_CA,Canada,USA,TOTAL,All Commodities,133103955803.0
1998,USA_CA,Canada,USA,TOTAL,All Commodities,137306128384.0
1999,USA_CA,Canada,USA,TOTAL,All Commodities,144425243501.0
2000,USA_CA,Canada,USA,TOTAL,All Commodities,154497368434.0
2001,USA_CA,Canada,USA,TOTAL,All Commodities,140999710443.0
2002,USA_CA,Canada,USA,TOTAL,All Commodities,139278667428.0
2003,USA_CA,Canada,USA,TOTAL,All Commodities,145755350530.0
2004,USA_CA,Canada,USA,TOTAL,All Commodities,160827006670.0
2005,USA_CA,Canada,USA,TOTAL,All Commodities,177635571120.0
2006,USA_CA,Canada,USA,TOTAL,All Commodities,192177944211.0
2007,USA_CA,Canada,USA,TOTAL,All Commodities,206439118648.0
2008,USA_CA,Canada,USA,TOTAL,All Commodities,214046444022.0
2009,USA_CA,Canada,USA,TOTAL,All Commodities,164245761452.0
2010,USA_CA,Canada,USA,TOTAL,All Commodities,197547488641.0
2011,USA_CA,Canada,USA,TOTAL,All Commodities,223172493269.0
2012,USA_CA,Canada,USA,TOTAL,All Commodities,234075807499.0
2013,USA_CA,Canada,USA,TOTAL,All Commodities,240614339137.0
2014,USA_CA,Canada,USA,TOTAL,All Commodities,251814355795.0
2015,USA_CA,Canada,USA,TOTAL,All Commodities,223174131106.25
2016,USA_CA,Canada,USA,TOTAL,All Commodities,209921524454.78
2017,USA_CA,Canada,USA,TOTAL,All Commodities,222572824420.717
2018,USA_CA,Canada,USA,TOTAL,All Commodities,235121903895.428
2019,USA_CA,Canada,USA,TOTAL,All Commodities,230070446660.979
2020,USA_CA,Canada,USA,TOTAL,All Commodities,197970679672.327
2021,USA_CA,Canada,USA,TOTAL,All Commodities,239118669879.364
2022,USA_CA,Canada,USA,TOTAL,All Commodities,281509566462.327
2023,USA_CA,Canada,USA,TOTAL,All Commodities,276807213354.706
2024,USA_CA,Canada,USA,TOTAL,All Commodities,275865389723.887
2025,USA_CA,Canada,USA,TOTAL,All Commodities,262020901805.764
