Año,par,reporterDesc,partnerDesc,cmdCode,cmdDesc,Valor Total (USD)
1994,USA_MX,Mexico,USA,TOTAL,All Commodities,54812852224.0
1995,USA_MX,Mexico,USA,TOTAL,All Commodities,53973135360.0
1996,USA_MX,Mexico,USA,TOTAL,All Commodities,67615404032.0
1997,USA_MX,Mexico,USA,TOTAL,All Commodities,83214057472.0
1998,USA_MX,Mexico,USA,TOTAL,All Commodities,93306937344.0
1999,USA_MX,Mexico,USA,TOTAL,All Commodities,105375817728.0
2000,USA_MX,Mexico,USA,TOTAL,All Commodities,127689976239.0
2001,USA_MX,Mexico,USA,TOTAL,All Commodities,114059681973.0
2002,USA_MX,Mexico,USA,TOTAL,All Commodities,106899862231.0
2003,USA_MX,Mexico,USA,TOTAL,All Commodities,105723446925.0
2004,USA_MX,Mexico,USA,TOTAL,All Commodities,111262254142.0
2005,USA_MX,Mexico,USA,TOTAL,All Commodities,118973101839.0
2006,USA_MX,Mexico,USA,TOTAL,All Commodities,130809817420.0
2007,USA_MX,Mexico,USA,TOTAL,All Commodities,139930555055.0
2008,USA_MX,Mexico,USA,TOTAL,All Commodities,151746429617.0
2009,USA_MX,Mexico,USA,TOTAL,All Commodities,112788739681.0
2010,USA_MX,Mexico,USA,TOTAL,All Commodities,145450398186.0
2011,USA_MX,Mexico,USA,TOTAL,All Commodities,174878466067.0
2012,USA_MX,Mexico,USA,TOTAL,All Commodities,185683874982.0
2013,USA_MX,Mexico,USA,TOTAL,All Commodities,187758443992.0
2014,USA_MX,Mexico,USA,TOTAL,All Commodities,195856156094.0
2015,USA_MX,Mexico,USA,TOTAL,All Commodities,187308132709.0
2016,USA_MX,Mexico,USA,TOTAL,All Commodities,179918082890.0
2017,USA_MX,Mexico,USA,TOTAL,All Commodities,194978436628.0
2018,USA_MX,Mexico,USA,TOTAL,All Commodities,216270194882.0
2019,USA_MX,Mexico,USA,TOTAL,All Commodities,206134038062.0
2020,USA_MX,Mexico,USA,TOTAL,All Commodities,168197311214.0
2021,USA_MX,Mexico,USA,TOTAL,All Commodities,221311736869.0
2022,USA_MX,Mexico,USA,TOTAL,All Commodities,266911188886.0
2023,USA_MX,Mexico,USA,TOTAL,All Commodities,261798983832.0
2024,USA_MX,Mexico,USA,TOTAL,All Commodities,262729906096.0
2025,USA_MX,Mexico,USA,TOTAL,All Commodities,249921371437.0
