Año,par,reporterDesc,partnerDesc,cmdCode,cmdDesc,Valor Total (USD)
1994,USA_W,USA,World,TOTAL,All Commodities,512336854960.0
1995,USA_W,USA,World,TOTAL,All Commodities,582964674560.0
1996,USA_W,USA,World,TOTAL,All Commodities,622784142733.0
1997,USA_W,USA,World,TOTAL,All Commodities,687532541990.0
1998,USA_W,USA,World,TOTAL,All Commodities,680434596823.0
1999,USA_W,USA,World,TOTAL,All Commodities,692783783523.0
2000,USA_W,USA,World,TOTAL,All Commodities,781830672843.0
2001,USA_W,USA,World,TOTAL,All Commodities,729080421077.0
2002,USA_W,USA,World,TOTAL,All Commodities,693068306701.0
2003,USA_W,USA,World,TOTAL,All Commodities,724736583355.0
2004,USA_W,USA,World,TOTAL,All Commodities,814844394245.0
2005,USA_W,USA,World,TOTAL,All Commodities,901041411256.0
2006,USA_W,USA,World,TOTAL,All Commodities,1037029245257.0
2007,USA_W,USA,World,TOTAL,All Commodities,1162538149766.0
2008,USA_W,USA,World,TOTAL,All Commodities,1299898877213.0
2009,USA_W,USA,World,TOTAL,All Commodities,1056712078245.0
2010,USA_W,USA,World,TOTAL,All Commodities,1278099187391.0
2011,USA_W,USA,World,TOTAL,All Commodities,1481682201761.0
2012,USA_W,USA,World,TOTAL,All Commodities,1544932014357.0
2013,USA_W,USA,World,TOTAL,All Commodities,1577587252487.0
2014,USA_W,USA,World,TOTAL,All Commodities,1619742863865.0
2015,USA_W,USA,World,TOTAL,All Commodities,1501845863839.0
2016,USA_W,USA,World,TOTAL,All Commodities,1450906272956.0
2017,USA_W,USA,World,TOTAL,All Commodities,1545809598154.0
2018,USA_W,USA,World,TOTAL,All Commodities,1665302936591.0
2019,USA_W,USA,World,TOTAL,All Commodities,1644276220783.0
2020,USA_W,USA,World,TOTAL,All Commodities,1430253623489.0
2021,USA_W,USA,World,TOTAL,All Commodities,1753136708106.0
2022,USA_W,USA,World,TOTAL,All Commodities,2062089832731.0
2023,USA_W,USA,World,TOTAL,All Commodities,2018542583771.0
2024,USA_W,USA,World,TOTAL,All Commodities,2063802611123.0
2025,USA_W,USA,World,TOTAL,All Commodities,2177127769561.0
