Año,par,reporterDesc,partnerDesc,cmdCode,cmdDesc,Valor Total (USD)
1994,W_CA,Canada,World,TOTAL,All Commodities,148185450072.0
1995,W_CA,Canada,World,TOTAL,All Commodities,164370978200.0
1996,W_CA,Canada,World,TOTAL,All Commodities,170605558987.0
1997,W_CA,Canada,World,TOTAL,All Commodities,197010906689.0
1998,W_CA,Canada,World,TOTAL,All Commodities,201372549120.0
1999,W_CA,Canada,World,TOTAL,All Commodities,215554886332.0
2000,W_CA,Canada,World,TOTAL,All Commodities,240088243660.0
2001,W_CA,Canada,World,TOTAL,All Commodities,221623728694.0
2002,W_CA,Canada,World,TOTAL,All Commodities,222440059139.0
2003,W_CA,Canada,World,TOTAL,All Commodities,240376249487.0
2004,W_CA,Canada,World,TOTAL,All Commodities,273873699602.0
2005,W_CA,Canada,World,TOTAL,All Commodities,314444418974.0
2006,W_CA,Canada,World,TOTAL,All Commodities,350257149912.0
2007,W_CA,Canada,World,TOTAL,All Commodities,380646621997.0
2008,W_CA,Canada,World,TOTAL,All Commodities,408762167569.0
2009,W_CA,Canada,World,TOTAL,All Commodities,321227567706.0
2010,W_CA,Canada,World,TOTAL,All Commodities,392108702461.0
2011,W_CA,Canada,World,TOTAL,All Commodities,450579509089.0
2012,W_CA,Canada,World,TOTAL,All Commodities,462366181402.0
2013,W_CA,Canada,World,TOTAL,All Commodities,461785073454.0
2014,W_CA,Canada,World,TOTAL,All Commodities,463088976833.0
2015,W_CA,Canada,World,TOTAL,All Commodities,419374729376.088
2016,W_CA,Canada,World,TOTAL,All Commodities,402287821924.144
2017,W_CA,Canada,World,TOTAL,All Commodities,433045052733.088
2018,W_CA,Canada,World,TOTAL,All Commodities,459945043260.697
2019,W_CA,Canada,World,TOTAL,All Commodities,453651555186.53
2020,W_CA,Canada,World,TOTAL,All Commodities,405204923044.594
2021,W_CA,Canada,World,TOTAL,All Commodities,491691971781.561
2022,W_CA,Canada,World,TOTAL,All Commodities,571773402336.481
2023,W_CA,Canada,World,TOTAL,All Commodities,558529223348.125
2024,W_CA,Canada,World,TOTAL,All Commodities,559984823566.62
2025,W_CA,Canada,World,TOTAL,All Commodities,571105331565.608
