Año,par,reporterDesc,partnerDesc,cmdCode,cmdDesc,Valor Total (USD)
1994,W_MX,Mexico,World,TOTAL,All Commodities,79334973440.0
1995,W_MX,Mexico,World,TOTAL,All Commodities,72452988928.0
1996,W_MX,Mexico,World,TOTAL,All Commodities,89355034624.0
1997,W_MX,Mexico,World,TOTAL,All Commodities,111983247360.0
1998,W_MX,Mexico,World,TOTAL,All Commodities,125323755520.0
1999,W_MX,Mexico,World,TOTAL,All Commodities,141955596288.0
2000,W_MX,Mexico,World,TOTAL,All Commodities,174397202141.0
2001,W_MX,Mexico,World,TOTAL,All Commodities,168376890806.0
2002,W_MX,Mexico,World,TOTAL,All Commodities,168650540779.0
2003,W_MX,Mexico,World,TOTAL,All Commodities,170545787086.0
2004,W_MX,Mexico,World,TOTAL,All Commodities,196808374762.0
2005,W_MX,Mexico,World,TOTAL,All Commodities,221818979783.0
2006,W_MX,Mexico,World,TOTAL,All Commodities,256085920260.0
2007,W_MX,Mexico,World,TOTAL,All Commodities,281926513230.0
2008,W_MX,Mexico,World,TOTAL,All Commodities,308583119940.0
2009,W_MX,Mexico,World,TOTAL,All Commodities,234384531886.0
2010,W_MX,Mexico,World,TOTAL,All Commodities,301481733926.0
2011,W_MX,Mexico,World,TOTAL,All Commodities,350842805606.0
2012,W_MX,Mexico,World,TOTAL,All Commodities,370751407489.0
2013,W_MX,Mexico,World,TOTAL,All Commodities,381210149461.0
2014,W_MX,Mexico,World,TOTAL,All Commodities,399984248389.0
2015,W_MX,Mexico,World,TOTAL,All Commodities,395253856855.0
2016,W_MX,Mexico,World,TOTAL,All Commodities,387087412856.0
2017,W_MX,Mexico,World,TOTAL,All Commodities,420394590810.0
2018,W_MX,Mexico,World,TOTAL,All Commodities,464294259444.0
2019,W_MX,Mexico,World,TOTAL,All Commodities,455235784381.0
2020,W_MX,Mexico,World,TOTAL,All Commodities,382979895758.0
2021,W_MX,Mexico,World,TOTAL,All Commodities,505715615701.0
2022,W_MX,Mexico,World,TOTAL,All Commodities,606295621090.0
2023,W_MX,Mexico,World,TOTAL,All Commodities,605582537052.0
2024,W_MX,Mexico,World,TOTAL,All Commodities,636780456443.0
2025,W_MX,Mexico,World,TOTAL,All Commodities,663605567587.0
