Año,par,reporterDesc,partnerDesc,cmdCode,cmdDesc,Valor Total (USD)
1994,W_USA,USA,World,TOTAL,All Commodities,689029922860.0
1995,W_USA,USA,World,TOTAL,All Commodities,770821455872.0
1996,W_USA,USA,World,TOTAL,All Commodities,817627145588.0
1997,W_USA,USA,World,TOTAL,All Commodities,898025469114.0
1998,W_USA,USA,World,TOTAL,All Commodities,944350087088.0
1999,W_USA,USA,World,TOTAL,All Commodities,1059220066421.0
2000,W_USA,USA,World,TOTAL,All Commodities,1217932974446.0
2001,W_USA,USA,World,TOTAL,All Commodities,1140900159185.0
2002,W_USA,USA,World,TOTAL,All Commodities,1200095833882.0
2003,W_USA,USA,World,TOTAL,All Commodities,1302833508196.0
2004,W_USA,USA,World,TOTAL,All Commodities,1525304217271.0
2005,W_USA,USA,World,TOTAL,All Commodities,1734849141777.0
2006,W_USA,USA,World,TOTAL,All Commodities,1918997094449.0
2007,W_USA,USA,World,TOTAL,All Commodities,2017120776311.0
2008,W_USA,USA,World,TOTAL,All Commodities,2164834031060.0
2009,W_USA,USA,World,TOTAL,All Commodities,1601895815130.0
2010,W_USA,USA,World,TOTAL,All Commodities,1968259900993.0
2011,W_USA,USA,World,TOTAL,All Commodities,2263619062869.0
2012,W_USA,USA,World,TOTAL,All Commodities,2334677716383.0
2013,W_USA,USA,World,TOTAL,All Commodities,2326590208528.0
2014,W_USA,USA,World,TOTAL,All Commodities,2410855476207.0
2015,W_USA,USA,World,TOTAL,All Commodities,2313424569327.0
2016,W_USA,USA,World,TOTAL,All Commodities,2247167254438.0
2017,W_USA,USA,World,TOTAL,All Commodities,2405276626657.0
2018,W_USA,USA,World,TOTAL,All Commodities,2611432490157.0
2019,W_USA,USA,World,TOTAL,All Commodities,2567492197103.0
2020,W_USA,USA,World,TOTAL,All Commodities,2405381557667.0
2021,W_USA,USA,World,TOTAL,All Commodities,2932976075226.0
2022,W_USA,USA,World,TOTAL,All Commodities,3372902165775.0
2023,W_USA,USA,World,TOTAL,All Commodities,3168471121076.0
2024,W_USA,USA,World,TOTAL,All Commodities,3356812501330.0
2025,W_USA,USA,World,TOTAL,All Commodities,3504272131456.0
