hS10Code,commodityName,commodityDescription
0201100090,"C/HC BOVN, FR/CH","MEAT OF BOVINE ANIMALS, FRESH OR CHILLED, CARCASSES AND HALF CARCASSESS"
0201100590,"C/HC BV,NES,FC",GEN NOTE15 CARCASS/HALF-CARCASS BOVINE NESOI FRESH/CHILLED
0201101090,"C/HCBV,NES,FC,QT",ADDTL NOTE3 CARCASS/HALF-CARCASS BOVNE NESOI FRESH/CHILLED
0201105090,"C/HCBV,NES,FC,OQ","OTHER MEAT OF BOVINE ANIMALS, FRESH OR CHILLED, CARCASSES OR HALF CARCASSES, NOT IN NOTE 15 OR 3"
0201200200,"BVCT,HQBI,PFC",GEN NOTE15 HI-QULTY BEEF CUTS WITH BONE IN PROCESSED FRESH/CHILLED
0201200400,"BV,BI,NES,PFC",GEN NOTE 15 BEEF CUTS WITH BONE IN PROCESSED NESOI FRESH/CHILLED
0201200600,"BVCT,BI,XPFC",GEN NOTE15 BEEF CUTS WITH BONE IN EXCEPT PROCESSED FRESH/CHILLED
0201201000,"BVCT,HQBI,PFC,QT",ADDTL NOTE3 BEEF CUTS HI-QULTY BONE IN PROCESSED FRESH/CHILLED
0201202000,"BF CTS,HQBI,PFC",BEEF CUTS WITH BONE IN FRESH OR CHILLED
0201203000,BF PRSDW/B FR/CH,"MEAT OF BOVINE ANIMALS, NESOI, CUTS WITH BONE IN, PROCESSED, FRESH OR CHILLED  (KG)"
0201203550,BF PRSDW/B FR/CH,"MEAT OF BOVINE ANIMALS, FRESH OR CHILLED,  OTHER CUTS WITH BONE IN, PROCESSED"
0201204000,"M BV,NES,CWB PFC","MEAT OF BOVINCE ANIMALS, OTHER, FRESH OR CHILLED, CARASSES WITH BONE IN"
0201205000,"BVCT,BI,XPFC,QT",NOTE 3 MEAT BOVINE ANMLS CUTS WITH BONE EXCLUDING PROCESSED FRESH
0201205025,"BFBIQ,XPFC,RIBCT","MEAT OF BOVINES, WITH BONE IN, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, RIB CUTS"
0201205035,"BFBIQ,XPFC,CHKCT","MEAT OF BOVINES, WITH BONE IN, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, CHUCK CUTS"
0201205045,"BFBIQ,XPFC,LOIN","MEAT OF BOVINES, WITH BONE IN, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, LOIN CUTS"
0201205055,"BFBIQ,XPFC,BRSKT","MEAT OF BOVINES, WITH BONE IN, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, BRISKET CUTS"
0201205065,"BFBIQ,XPFC,HIPCT","MEAT OF BOVINES, WITH BONE IN, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, HIP CUTS"
0201205075,"BFBIQ,XPFC,FLANK","MEAT OF BOVINES, WITH BONE IN, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, FLANK OR PLATE CUTS"
0201205085,"BFBIQ,XPFC,CTNES","MEAT OF BOVINES, WITH BONE IN, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, NESOI"
0201205090,"BFCT,BI,XPFC,QT","MEAT OF BOVINES, WITH BONE IN, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, NESOI"
0201205091,"BFBI,XPFRC,CTNES","MEAT OF BOVINES, WITH BONE IN, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, NESOI"
0201206000,"MT BV,CTW/B XPFC","MEAT OF BOVINE ANIMALS, CUTS WITH BONE IN, NOT PROCESSED, FRESH OR CHILLED"
0201208000,"BV,BI,FC,OQ","BOVNE ANIMAL CUTS WITH BONE IN, NESOI, FRESH/CHILLED"
0201208090,"BV,BI,NES,F/C","OTHER CUTS OF MEAT OF BOVINE ANIMALS WITH BONE IN, FREASH OR CHILLED"
0201300200,"BVCT,HQBL,PFC",GEN NOTE 15 BEEF CUTS HI-QULTY BONELESS PROCESSED FRESH/CHILLED
0201300400,"BV,BL,NES,PFC",GEN NOTE 15 BEEF BONELESS PROCESSED NESOI FRESH/CHILLED
0201300600,"MTBV,BL,XPFC",GEN NOTE 15 BEEF BONELESS EXCEPT PROCESSED FRESH/CHILLED
0201301000,"BVCT,HQBL,PFC,QT",ADDTL NOTE3 BEEF CUTS HI-QULTY BONELESS PROCESSED FRESH/CHILLED
0201302000,"BF CTS,HQBI,PFC","MEAT OF BOVINE ANIMALS, FRESH OR CHILLED, BONELESS, PROCESSED, HIGH QUALITY BEEF CUTS"
0201303000,"BF PRSD WO/B,F/C","MEAT OF BOVINE ANIMALS, BONELESS, PROCESSED, FRESH OR CHILLED  (KG)"
0201303550,"BF PRSD WO/B,F/C","MEAT OF BOVINE ANIMALS, FRESH OR CHILLED, BONELESS, PROCESSED"
0201304000,"M BV,NES,BL,PFC","MEAT OF BOVINE ANIMALS, FRESH OR CHILLED, BONELESS, PROCESSED, OTHER"
0201305000,"MTBV,BL,XPFC,QT",ADDTL NOTE 3 BEEF BONELESS NOT PROCESSED FRESH/CHILLED
0201305025,"BFBLQ,XPFC,RIBCT","MEAT OF BOVINES, BONELESS, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, RIB CUTS"
0201305035,"BFBLQ,XPFC,CHKCT","MEAT OF BOVINES, BONELESS, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, CHUCK CUTS"
0201305045,"BFBLQ,XPFC,LOIN","MEAT OF BOVINES, BONELESS, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, LOIN CUTS"
0201305055,"BFBLQ,XPFC,BRSKT","MEAT OF BOVINES, BONELESS, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, BRISKET CUTS"
0201305065,"BFBLQ,XPFC,HIPCT","MEAT OF BOVINES, BONELESS, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, HIP CUTS"
0201305075,"BFBLQ,XPFC,FLANK","MEAT OF BOVINES, BONELESS, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, FLANK OR PLATE CUTS"
0201305085,"BFBLQ,XPFC,CTNES","MEAT OF BOVINES, BONELESS, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, NESOI"
0201305090,"BFCT,BL,XPFC,QT","MEAT OF BOVINES, BONELESS, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, NESOI"
0201306000,"MT BV,BNLS,XPFC","OTHER MEAT OF BOVINE ANIMALS, FRESH OR CHILLED, BONELESS, NOT PROCESSED"
0201306090,BFW/OB NP FC NES,"MEAT OF BOVINES, BONELESS, FRESH OR CHILLED, EXCEPT PROCESSED, NESOI"
0201308000,"BV,BL,FC,OQ",ADDTL NOTE 3 BEEF BONELESS EXCEPT PROCESSED FRESH/CHILLED
0201308090,"BV, BL, FC, OQ","MEAT OF BOVINE ANIMALS, FRESH OR CHILLED, OTHER, EXCEPT PROCESSED"
0202100090,C/HC BOVN NES FZ,"OTHER MEAT OF BOVINE ANIMALS, FROZEN, CARCASSES OR HALF CARCASSES"
0202100590,"C/HCBV,NES,FZ","OTHER MEAT OF BOVINE ANIMALS, FROZEN, CARCASSES OR HALF CARCASSES, GENERAL NOTE 15"
0202101090,"C/HCBV,NES,FZ,QT","OTHER MEAT OF BOVINE ANIMALS, FROZEN, CARCASSES OR HALF CARCASSES, ADDITION US NOTE 3"
0202105090,"C/HCBV,NES,FZ,OQ","OTHER MEAT OF BOVINE ANIMALS, FROZEN, CARCASSES OR HALF CARCASSES, OTHER"
0202200200,"BVCT,HQBI,PFZ",GEN NOTE 15 BEEF CUTS HI-QUALITY BONE IN PROCESSED FROZEN
0202200400,"BVCT,NES,BI,PFZ","OTHER MEAT OF BOVINE ANIMALS, FROZEN, OTHER CUTS WITH BONE IN, PROCESSED"
0202200600,"BVCT,BI,XPFZ",GEN NOTE 15 BOVINE ANIMALS CUTS WITH BONE NOT PROCESSED FROZEN
0202201000,"BVCT,HQBI,PFZ,QT",ADDTL NOTE3 BEEF CUTS HI-QUALITY BONE IN PRCSSD FZ
0202202000,"BF CT,HQBI,P/FZ","MEAT OF BOVINE ANIMALS, FROZEN,  CUTS WITH BONE IN, PROCESSED, HIGH QUALITY"
0202203000,BF PRSD W/B FRZ,"MEAT OF BOVINE ANIMALS, NESOI, CUTS WITH BONE IN, PROCESSED, FROZEN  (KG)"
0202203550,BF PRSD W/B FRZ,"MEAT OF BOVINE ANIMALS, FROZEN, OTHER CUTS WITH BONE IN, PROCESSED"
0202204000,"M BV,NES,CWB,PFZ","OTHER MEAT OF BOVINE ANIMALS, FROZEN, CUTS WITH BONE IN, PROCESSED"
0202205000,"BVCT,BI,XPFZ,QT",ADDTL NOTE 3 BOVINE ANIMALS CUTS WITH BONE NOT PROCESSED FROZEN
0202205025,"BFBIQ,XPFZ,RIBCT","MEAT OF BOVINES, WITH BONE IN, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, RIB CUTS"
0202205035,"BFBIQ,XPFZ,CHKCT","MEAT OF BOVINES, WITH BONE IN, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, CHUCK CUTS"
0202205045,"BFBIQ,XPFZ,LOIN","MEAT OF BOVINES, WITH BONE IN, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, LOIN CUTS"
0202205055,"BFBIQ,XPFZ,BRSKT","MEAT OF BOVINES, WITH BONE IN, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, BRISKET CUTS"
0202205065,"BFBIQ,XPFZ,HIPCT","MEAT OF BOVINES, WITH BONE IN, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, HIP CUTS"
0202205075,"BFBIQ,XPFZ,FLANK","MEAT OF BOVINES, WITH BONE IN, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, FLANK OR PLATE CUTS"
0202205085,"BFBIQ,XPFZ,CTNES","MEAT OF BOVINES, WITH BONE IN, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, NESOI"
0202205090,"BFBI,XPFRZ,CTNES","MEAT, BOVINE W/BONE FRZN US NT 3 EXC PROCSD,NESO"
0202206000,"MT BV,CW/B XP,FZ","OTHER MEAT OF BOVINE ANIMALS, FROZEN,  CUTS WITH BONE IN, NOT PROCESSED"
0202208000,"BVCT,BI,FZ,OQ","OTHER MEAT OF BOVINE ANIMALS, FROZEN,  CUTS WITH BONE IN"
0202300200,"BVCT,HQBL,PFZ",GEN NOTE 15 BEEF CUTS HI-QULTY BONELESS PROCESSED FROZEN
0202300400,"BV,BL,NES,PFZ","BOVINE ANMLS BONELESS PROCESSED, NESOI, FROZEN GEN NOTE 15"
0202300600,"MTBV,BL,XPFZ",GEN NOTE 15 BOVINE ANIMALS BONELESS NOT PROCESSED FROZEN
0202301000,"BVCT,HQBL,PFZ,QT",ADDTL NOTE 3 BEEF CUTS HI-QULTY BONELESS PROCESSED FROZEN
0202302000,"BF CT,HQBL,PR/FZ","MEAT OF BOVINE ANIMALS, FROZEN,  BONELESS, PROCESSED, HIGH QUALITY BEEF CUTS"
0202303000,BF PRSD WO/B FRZ,"MEAT OF BOVINE ANIMALS, BONELESS, PROCESSED, FROZEN  (KG)"
0202303550,BF PRSD WO/B FRZ,"MEAT OF BOVINE ANIMALS, FROZEN, BONELESS, PROCESSED"
0202304000,"M BV,NES,BL,P/FZ","MEAT OF BOVINE ANIMALS, FROZEN,  BONELESS, PROCESSED, OTHER"
0202305000,"MTBV,BL,XPFZ,QT",ADDTL NOTE 3 BOVINE ANIMALS BONELESS NOT PROCESSED FROZEN
0202305025,"BFBLQ,XPFZ,RIBCT","MEAT OF BOVINES, BONELESS, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, RIB CUTS"
0202305035,"BFBLQ,XPFZ,CHKCT","MEAT OF BOVINES, BONELESS, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, CHUCK CUTS"
0202305045,"BFBLQ,XPFZ,LOIN","MEAT OF BOVINES, BONELESS, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, LOIN CUTS"
0202305055,"BFBLQ,XPFZ,BRSKT","MEAT OF BOVINES, BONELESS, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, BRISKET CUTS"
0202305065,"BFBLQ,XPFZ,HIPCT","MEAT OF BOVINES, BONELESS, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, HIP CUTS"
0202305075,"BFBLQ,XPFZ,FLANK","MEAT OF BOVINES, BONELESS, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, FLANK OR PLATE CUTS"
0202305085,"BFBLQ,XPFZ,CTNES","MEAT OF BOVINES, BONELESS, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, NESOI"
0202305090,"BFCT,BL,XPFZ,QT","MEAT OF BOVINES, BONELESS, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, NESOI"
0202306000,"MT BV,BNL X P/FZ","MEAT OF BOVINE ANIMALS, FROZEN,  BONELESS, NOT PROCESSED"
0202308000,"MTBV,BL,FZ,OQ","MEAT OF BOVINE ANIMALS, BONELESS, NESOI, FROZEN"
