Año,Cantidad Total (toneladas),Valor Total (USD)
1988,10700235.28,26636919000.0
1989,10472532.096,27071466000.0
1990,10316042.856,29348237000.0
1991,10394967.864,29399329000.0
1992,10471624.912,28632524000.0
1993,10454842.008,28848468000.0
1994,11061294.512,26533580000.0
1995,11441404.608000001,24699740000.0
1996,11578842.984,22034934000.0
1997,11562060.08,24941882000.0
1998,11684529.92,24187549000.0
1999,12016559.264,26097222000.0
2000,12195728.104,28498670000.0
2001,11890007.096,29403098000.0
2002,12334527.256000001,27097532000.0
2003,11947613.28,32111711000.0
2004,11180589.208,34890118000.0
2005,11242822.0304,36348156000.0
2006,11909602.2704,35490732000.0
2007,12030847.412,35973068000.0
2008,12091220.5072,35597898000.0
2009,11818929.2296,31897074000.0
2010,11969930.0064,36850474000.0
2011,11916043.2768,45059200000.0
2012,11788583.9248,48059904000.0
2013,11698092.3208,48595712000.0
2014,11028862.684,60141507000.0
2015,10777481.9976,60080918000.0
2016,11470479.8552,48572501000.0
2017,11907107.5144,50398374000.0
2018,12219178.8104,49180350000.0
2019,12348724.6856,48228113000.0
2020,12357161.4968,48433444000.0
2021,12707289.1616,49253103000.0
2022,12863324.8096,61937477000.0
2023,12262814.3608,73746121000.0
2024,12268711.0568,82968349000.0
2025,11825098.0808,99769907000.0
