Año,Cantidad Total (toneladas)
1976,1111896.0
1977,1092120.0
1978,1023965.0
1979,917848.0
1980,938780.0
1981,978149.0
1982,986493.0
1983,992745.0
1984,948414.0
1985,985250.0
1986,985152.0
1987,912966.0
1988,906869.0
1989,908400.0
1990,857931.0
1991,822776.0
1992,856655.0
1993,822309.0
1994,861862.0
1995,887912.0
1996,976111.0
1997,1047337.0
1998,1140494.0
1999,1222419.0
2000,1222626.0
2001,1221005.0
2002,1259438.0
2003,1162147.0
2004,1456678.0
2005,1429899.0
2006,1291729.0
2007,1239035.0
2008,1266318.0
2009,1204345.0
2010,1240623.0
2011,1106034.0
2012,1025936.0
2013,1023856.0
2014,1068757.0
2015,1017547.0
2016,1110219.0
2017,1167683.0
2018,1231162.0
2019,1308733.0
2020,1295891.0
2021,1348749.0
2022,1378706.0
2023,1309254.0
2024,1257960.0
