Año,Cantidad Total (toneladas),Valor Total (USD)
1994,1364711.0,3275205704.305836
1995,1412336.0,2325461400.7937336
1996,1329947.0,2326292899.1581564
1997,1340071.0,2976681324.9784036
1998,1379768.0,2862041010.774252
1999,1399629.0,3092755402.262068
2000,1408618.0,3252079345.031693
2001,1444621.0,3493193734.2883387
2002,1467574.206,3368664037.390884
2003,1503759.964,3297723854.021355
2004,1543730.003,3622722264.140068
2005,1557707.498,4311074204.571253
2006,1612991.609,4510175701.425211
2007,1635039.557,4622904860.27227
2008,1667136.26,4755980876.868755
2009,1704985.488,4074156166.5389543
2010,1744737.287,4589108506.348402
2011,1803931.581,4965899522.892405
2012,1820546.868,5071159056.651753
2013,1806757.699,5798907021.028207
2014,1827152.496,6837698696.803786
2015,1845236.167,7273631139.23877
2016,1878705.495,6359486733.865844
2017,1926900.303,6737088202.345855
2018,1980846.343,6989179644.355832
2019,2027634.255,7249794648.589407
2020,2081261.507,6746168453.789466
2021,2130590.63,7482582998.655124
2022,2175576.614,8141551368.255458
2023,2214927.699,9671149739.173975
2024,2253615.338,9971043797.35304
