consumptionQuantity1,consumptionQuantity2,consumptionValue,consumptionCIFValue,cifValue,date,countryCode,hS10Code,censusUOMId1,censusUOMId2,fasConvertedUOMId,fasNonConvertedUOMId,quantity1,quantity2,value,mes_origen,year
898927.0,0.0,1578417.0,1601965.0,1601965.0,199401,CA,0203110000,47,47,70,70,898927.0,0.0,1578417.0,1,1994
5030936.0,0.0,7769338.0,7895052.0,7895052.0,199401,CA,0203129010,47,47,70,70,5048386.0,0.0,7792689.0,1,1994
1300979.0,0.0,2622376.0,2654571.0,2654571.0,199401,CA,0203129020,47,47,70,70,1300979.0,0.0,2622376.0,1,1994
38102.0,0.0,46200.0,46630.0,46630.0,199401,CA,0203192010,47,47,70,70,38102.0,0.0,46200.0,1,1994
30723.0,0.0,146463.0,147363.0,147363.0,199401,CA,0203192090,47,47,70,70,30723.0,0.0,146463.0,1,1994
705682.0,0.0,1066355.0,1080091.0,1080091.0,199401,CA,0203194010,47,47,70,70,705682.0,0.0,1066355.0,1,1994
4205558.0,0.0,9611503.0,9719683.0,9719683.0,199401,CA,0203194090,47,47,70,70,4186537.0,0.0,9526845.0,1,1994
206927.0,0.0,321564.0,331924.0,331924.0,199401,CA,0203229000,47,47,70,70,206927.0,0.0,321564.0,1,1994
19051.0,0.0,14337.0,14489.0,55427.0,199401,CA,0203292000,47,47,70,70,36551.0,0.0,54075.0,1,1994
1580537.0,0.0,2529802.0,2592428.0,2592428.0,199401,CA,0203294000,47,47,70,70,1580537.0,0.0,2529802.0,1,1994
998856.0,0.0,1823045.0,1851293.0,1851293.0,199402,CA,0203110000,47,47,70,70,998856.0,0.0,1823045.0,2,1994
4244318.0,0.0,7374195.0,7491662.0,7491662.0,199402,CA,0203129010,47,47,70,70,4226868.0,0.0,7350844.0,2,1994
1484943.0,0.0,3150005.0,3175827.0,3175827.0,199402,CA,0203129020,47,47,70,70,1484943.0,0.0,3150005.0,2,1994
19066.0,0.0,92835.0,92990.0,92990.0,199402,CA,0203192090,47,47,70,70,19066.0,0.0,92835.0,2,1994
614292.0,0.0,1029808.0,1041146.0,1041146.0,199402,CA,0203194010,47,47,70,70,614292.0,0.0,1029808.0,2,1994
4399837.0,0.0,10572398.0,10684944.0,10684944.0,199402,CA,0203194090,47,47,70,70,4399837.0,0.0,10572398.0,2,1994
142469.0,0.0,255858.0,261621.0,261621.0,199402,CA,0203229000,47,47,70,70,142469.0,0.0,255858.0,2,1994
38246.0,0.0,14662.0,16621.0,16621.0,199402,CA,0203292000,47,47,70,70,38246.0,0.0,14662.0,2,1994
1516937.0,0.0,2640998.0,2720022.0,2720022.0,199402,CA,0203294000,47,47,70,70,1516937.0,0.0,2640998.0,2,1994
1260523.0,0.0,2248781.0,2279469.0,2279469.0,199403,CA,0203110000,47,47,70,70,1260523.0,0.0,2248781.0,3,1994
18318.0,0.0,31095.0,31105.0,31105.0,199403,CA,0203121010,47,47,70,70,18318.0,0.0,31095.0,3,1994
4367406.0,0.0,7831747.0,7940158.0,7940158.0,199403,CA,0203129010,47,47,70,70,4367406.0,0.0,7831747.0,3,1994
1524146.0,0.0,3044312.0,3073965.0,3073965.0,199403,CA,0203129020,47,47,70,70,1524146.0,0.0,3044312.0,3,1994
844405.0,0.0,1280292.0,1298089.0,1298089.0,199403,CA,0203194010,47,47,70,70,844405.0,0.0,1280292.0,3,1994
5103534.0,0.0,11966358.0,12091545.0,12091545.0,199403,CA,0203194090,47,47,70,70,5087023.0,0.0,11966358.0,3,1994
325402.0,0.0,269239.0,273136.0,273136.0,199403,CA,0203229000,47,47,70,70,325402.0,0.0,269239.0,3,1994
19448.0,0.0,10101.0,11985.0,11985.0,199403,CA,0203292000,47,47,70,70,19448.0,0.0,10101.0,3,1994
2114608.0,0.0,3276878.0,3364202.0,3364202.0,199403,CA,0203294000,47,47,70,70,2114608.0,0.0,3276878.0,3,1994
1081316.0,0.0,1978225.0,2005338.0,2005338.0,199404,CA,0203110000,47,47,70,70,1081316.0,0.0,1978225.0,4,1994
5655316.0,0.0,9127851.0,9271389.0,9271389.0,199404,CA,0203129010,47,47,70,70,5655316.0,0.0,9127851.0,4,1994
1645929.0,0.0,3170382.0,3203546.0,3203546.0,199404,CA,0203129020,47,47,70,70,1645929.0,0.0,3170382.0,4,1994
7110.0,0.0,10189.0,11427.0,11427.0,199404,CA,0203192090,47,47,70,70,7110.0,0.0,10189.0,4,1994
679176.0,0.0,1161659.0,1179785.0,1179785.0,199404,CA,0203194010,47,47,70,70,679176.0,0.0,1161659.0,4,1994
4614519.0,0.0,10592374.0,10740441.0,10740441.0,199404,CA,0203194090,47,47,70,70,4614519.0,0.0,10592374.0,4,1994
265071.0,0.0,287848.0,294740.0,294740.0,199404,CA,0203229000,47,47,70,70,265071.0,0.0,287848.0,4,1994
79095.0,0.0,223607.0,227903.0,269027.0,199404,CA,0203292000,47,47,70,70,96595.0,0.0,263731.0,4,1994
1842454.0,0.0,3229690.0,3274070.0,3274070.0,199404,CA,0203294000,47,47,70,70,1842454.0,0.0,3229690.0,4,1994
1198046.0,0.0,2105297.0,2134530.0,2134530.0,199405,CA,0203110000,47,47,70,70,1198046.0,0.0,2105297.0,5,1994
4016679.0,0.0,6379492.0,6489743.0,6489743.0,199405,CA,0203129010,47,47,70,70,4016679.0,0.0,6379492.0,5,1994
1191987.0,0.0,2532329.0,2553671.0,2553671.0,199405,CA,0203129020,47,47,70,70,1191987.0,0.0,2532329.0,5,1994
11002.0,0.0,26439.0,28353.0,28353.0,199405,CA,0203192010,47,47,70,70,11002.0,0.0,26439.0,5,1994
14589.0,0.0,13102.0,17533.0,17533.0,199405,CA,0203192090,47,47,70,70,14589.0,0.0,13102.0,5,1994
439398.0,0.0,779014.0,791967.0,791967.0,199405,CA,0203194010,47,47,70,70,439398.0,0.0,779014.0,5,1994
4042459.0,0.0,9843721.0,9955291.0,9955291.0,199405,CA,0203194090,47,47,70,70,4042459.0,0.0,9843721.0,5,1994
212101.0,0.0,220101.0,225102.0,225102.0,199405,CA,0203229000,47,47,70,70,212101.0,0.0,220101.0,5,1994
38350.0,0.0,34937.0,37935.0,37935.0,199405,CA,0203292000,47,47,70,70,38350.0,0.0,34937.0,5,1994
1654301.0,0.0,2996143.0,3042174.0,3042174.0,199405,CA,0203294000,47,47,70,70,1654301.0,0.0,2996143.0,5,1994
1241337.0,0.0,2209190.0,2244094.0,2244094.0,199406,CA,0203110000,47,47,70,70,1241337.0,0.0,2209190.0,6,1994
6865.0,0.0,9532.0,9732.0,9732.0,199406,CA,0203121010,47,47,70,70,6865.0,0.0,9532.0,6,1994
13049.0,0.0,21712.0,22262.0,22262.0,199406,CA,0203121020,47,47,70,70,13049.0,0.0,21712.0,6,1994
3903846.0,0.0,6165115.0,6263347.0,6263347.0,199406,CA,0203129010,47,47,70,70,3903846.0,0.0,6165115.0,6,1994
1321350.0,0.0,2973226.0,2998011.0,2998011.0,199406,CA,0203129020,47,47,70,70,1321350.0,0.0,2973226.0,6,1994
5444.0,0.0,15041.0,15241.0,15241.0,199406,CA,0203192010,47,47,70,70,5444.0,0.0,15041.0,6,1994
36473.0,0.0,63265.0,64665.0,64665.0,199406,CA,0203192090,47,47,70,70,36473.0,0.0,63265.0,6,1994
302550.0,0.0,499766.0,509812.0,509812.0,199406,CA,0203194010,47,47,70,70,302550.0,0.0,499766.0,6,1994
