consumptionQuantity1,consumptionQuantity2,consumptionValue,consumptionCIFValue,cifValue,date,countryCode,hS10Code,censusUOMId1,censusUOMId2,fasConvertedUOMId,fasNonConvertedUOMId,quantity1,quantity2,value,mes_origen,year
8099.0,0.0,15727.0,16977.0,16977.0,199802,MX,0203192010,47,47,70,70,8099.0,0.0,15727.0,2,1998
7700.0,0.0,37845.0,38795.0,38795.0,199803,MX,0203192010,47,47,70,70,7700.0,0.0,37845.0,3,1998
30954.0,0.0,116459.0,117842.0,117842.0,199807,MX,0203192010,47,47,70,70,30954.0,0.0,116459.0,7,1998
2415.0,0.0,9585.0,9702.0,9702.0,199807,MX,0203292000,47,47,70,70,2415.0,0.0,9585.0,7,1998
16720.0,0.0,58220.0,58895.0,58895.0,199808,MX,0203192010,47,47,70,70,16720.0,0.0,58220.0,8,1998
13616.0,0.0,76285.0,77785.0,77785.0,199810,MX,0203294000,47,47,70,70,13616.0,0.0,76285.0,10,1998
17398.0,0.0,44190.0,44790.0,44790.0,199902,MX,0203294000,47,47,70,70,17398.0,0.0,44190.0,2,1999
17365.0,0.0,44281.0,44356.0,44356.0,199903,MX,0203292000,47,47,70,70,17365.0,0.0,44281.0,3,1999
5308.0,0.0,34637.0,35517.0,35517.0,200103,MX,0203192010,47,47,70,70,5308.0,0.0,34637.0,3,2001
1327.0,0.0,2123.0,2223.0,2223.0,200111,MX,0203129020,47,47,70,70,1327.0,0.0,2123.0,11,2001
1988.0,0.0,4383.0,4533.0,4533.0,200111,MX,0203292000,47,47,70,70,1988.0,0.0,4383.0,11,2001
1211.0,0.0,6498.0,6548.0,6548.0,200302,MX,0203294000,47,47,70,70,1211.0,0.0,6498.0,2,2003
6876.0,0.0,39413.0,39963.0,39963.0,200304,MX,0203294000,47,47,70,70,6876.0,0.0,39413.0,4,2003
28773.0,0.0,129741.0,131441.0,131441.0,200307,MX,0203294000,47,47,70,70,28773.0,0.0,129741.0,7,2003
11580.0,0.0,29612.0,29614.0,29614.0,200308,MX,0203194010,47,47,70,70,11580.0,0.0,29612.0,8,2003
2277.0,0.0,2460.0,2461.0,2461.0,200309,MX,0203192090,47,47,70,70,2277.0,0.0,2460.0,9,2003
23512.0,0.0,60128.0,60131.0,60131.0,200309,MX,0203194010,47,47,70,70,23512.0,0.0,60128.0,9,2003
23668.0,0.0,25560.0,25563.0,25563.0,200309,MX,0203229000,47,47,70,70,23668.0,0.0,25560.0,9,2003
14552.0,0.0,61445.0,61938.0,61938.0,200309,MX,0203294000,47,47,70,70,14552.0,0.0,61445.0,9,2003
30434.0,0.0,67156.0,67223.0,67223.0,200310,MX,0203194010,47,47,70,70,30434.0,0.0,67156.0,10,2003
2103.0,0.0,6662.0,6747.0,6747.0,200310,MX,0203194090,47,47,70,70,2103.0,0.0,6662.0,10,2003
1075.0,0.0,4503.0,4504.0,4504.0,200310,MX,0203229000,47,47,70,70,1075.0,0.0,4503.0,10,2003
46022.0,0.0,62436.0,62442.0,62442.0,200310,MX,0203294000,47,47,70,70,46022.0,0.0,62436.0,10,2003
49991.0,0.0,110666.0,110670.0,110670.0,200311,MX,0203194010,47,47,70,70,49991.0,0.0,110666.0,11,2003
31186.0,0.0,62657.0,62664.0,62664.0,200311,MX,0203294000,47,47,70,70,31186.0,0.0,62657.0,11,2003
66314.0,0.0,138130.0,138135.0,138135.0,200312,MX,0203194010,47,47,70,70,66314.0,0.0,138130.0,12,2003
2366.0,0.0,16653.0,16801.0,16801.0,200312,MX,0203292000,47,47,70,70,2366.0,0.0,16653.0,12,2003
49749.0,0.0,125050.0,125692.0,125692.0,200312,MX,0203294000,47,47,70,70,49749.0,0.0,125050.0,12,2003
40024.0,0.0,89213.0,89216.0,89216.0,200401,MX,0203194010,47,47,70,70,40024.0,0.0,89213.0,1,2004
2793.0,0.0,7432.0,7582.0,7582.0,200401,MX,0203194090,47,47,70,70,2793.0,0.0,7432.0,1,2004
31891.0,0.0,68197.0,68352.0,68352.0,200401,MX,0203294000,47,47,70,70,31891.0,0.0,68197.0,1,2004
54544.0,0.0,114181.0,114186.0,114186.0,200402,MX,0203194010,47,47,70,70,54544.0,0.0,114181.0,2,2004
42842.0,0.0,117764.0,118278.0,118278.0,200402,MX,0203294000,47,47,70,70,42842.0,0.0,117764.0,2,2004
61028.0,0.0,133410.0,133415.0,133415.0,200403,MX,0203194010,47,47,70,70,61028.0,0.0,133410.0,3,2004
1355.0,0.0,12819.0,12952.0,12952.0,200403,MX,0203292000,47,47,70,70,1355.0,0.0,12819.0,3,2004
44930.0,0.0,148482.0,148788.0,148788.0,200403,MX,0203294000,47,47,70,70,44930.0,0.0,148482.0,3,2004
58066.0,0.0,132961.0,132965.0,132965.0,200404,MX,0203194010,47,47,70,70,58066.0,0.0,132961.0,4,2004
1977.0,0.0,12421.0,12570.0,12570.0,200404,MX,0203229000,47,47,70,70,1977.0,0.0,12421.0,4,2004
17780.0,0.0,116479.0,117271.0,117271.0,200404,MX,0203292000,47,47,70,70,17780.0,0.0,116479.0,4,2004
35423.0,0.0,138795.0,139400.0,139400.0,200404,MX,0203294000,47,47,70,70,35423.0,0.0,138795.0,4,2004
87984.0,0.0,292019.0,292968.0,292968.0,200405,MX,0203194010,47,47,70,70,87984.0,0.0,292019.0,5,2004
998.0,0.0,3940.0,3954.0,3954.0,200405,MX,0203194090,47,47,70,70,998.0,0.0,3940.0,5,2004
53673.0,0.0,213014.0,213172.0,213172.0,200405,MX,0203294000,47,47,70,70,53673.0,0.0,213014.0,5,2004
17430.0,0.0,74707.0,74957.0,74957.0,200406,MX,0203294000,47,47,70,70,17430.0,0.0,74707.0,6,2004
15480.0,0.0,64843.0,65337.0,65337.0,200407,MX,0203194010,47,47,70,70,15480.0,0.0,64843.0,7,2004
1382.0,0.0,5483.0,5525.0,5525.0,200407,MX,0203194090,47,47,70,70,1382.0,0.0,5483.0,7,2004
13360.0,0.0,73340.0,73890.0,73890.0,200407,MX,0203229000,47,47,70,70,13360.0,0.0,73340.0,7,2004
16607.0,0.0,69562.0,70259.0,70259.0,200408,MX,0203194010,47,47,70,70,16607.0,0.0,69562.0,8,2004
1322.0,0.0,5245.0,5298.0,5298.0,200408,MX,0203194090,47,47,70,70,1322.0,0.0,5245.0,8,2004
17817.0,0.0,76594.0,76994.0,76994.0,200408,MX,0203294000,47,47,70,70,17817.0,0.0,76594.0,8,2004
12333.0,0.0,51551.0,52000.0,52000.0,200409,MX,0203192010,47,47,70,70,12333.0,0.0,51551.0,9,2004
37621.0,0.0,182428.0,183480.0,183480.0,200409,MX,0203294000,47,47,70,70,37621.0,0.0,182428.0,9,2004
2875.0,0.0,11093.0,11587.0,11587.0,200410,MX,0203192010,47,47,70,70,2875.0,0.0,11093.0,10,2004
8515.0,0.0,41489.0,41770.0,41770.0,200411,MX,0203192010,47,47,70,70,8515.0,0.0,41489.0,11,2004
9351.0,0.0,69163.0,69632.0,69632.0,200411,MX,0203294000,47,47,70,70,9351.0,0.0,69163.0,11,2004
17978.0,0.0,71288.0,71538.0,71538.0,200412,MX,0203292000,47,47,70,70,17978.0,0.0,71288.0,12,2004
17895.0,0.0,100574.0,100824.0,100824.0,200412,MX,0203294000,47,47,70,70,17895.0,0.0,100574.0,12,2004
8982.0,0.0,34651.0,35200.0,35200.0,200501,MX,0203194010,47,47,70,70,8982.0,0.0,34651.0,1,2005
35757.0,0.0,215847.0,217347.0,217347.0,200501,MX,0203294000,47,47,70,70,35757.0,0.0,215847.0,1,2005
17414.0,0.0,61424.0,61811.0,61811.0,200502,MX,0203194010,47,47,70,70,17414.0,0.0,61424.0,2,2005
462.0,0.0,2086.0,2099.0,2099.0,200502,MX,0203194090,47,47,70,70,462.0,0.0,2086.0,2,2005
17877.0,0.0,94409.0,94959.0,94959.0,200502,MX,0203294000,47,47,70,70,17877.0,0.0,94409.0,2,2005
17925.0,0.0,102942.0,103292.0,103292.0,200503,MX,0203294000,47,47,70,70,17925.0,0.0,102942.0,3,2005
17816.0,0.0,90337.0,90737.0,90737.0,200504,MX,0203192010,47,47,70,70,17816.0,0.0,90337.0,4,2005
9258.0,0.0,31060.0,31610.0,31610.0,200504,MX,0203194010,47,47,70,70,9258.0,0.0,31060.0,4,2005
17805.0,0.0,62416.0,62966.0,62966.0,200504,MX,0203294000,47,47,70,70,17805.0,0.0,62416.0,4,2005
17813.0,0.0,115845.0,116245.0,116245.0,200505,MX,0203192010,47,47,70,70,17813.0,0.0,115845.0,5,2005
1015.0,0.0,2797.0,2798.0,2798.0,200505,MX,0203194010,47,47,70,70,1015.0,0.0,2797.0,5,2005
33095.0,0.0,150448.0,150799.0,150799.0,200505,MX,0203294000,47,47,70,70,33095.0,0.0,150448.0,5,2005
2706.0,0.0,13822.0,13824.0,13824.0,200506,MX,0203194010,47,47,70,70,2706.0,0.0,13822.0,6,2005
102372.0,0.0,512857.0,514860.0,514860.0,200506,MX,0203294000,47,47,70,70,102372.0,0.0,512857.0,6,2005
35134.0,0.0,151950.0,152750.0,152750.0,200507,MX,0203192010,47,47,70,70,35134.0,0.0,151950.0,7,2005
12999.0,0.0,33656.0,33659.0,33659.0,200507,MX,0203194010,47,47,70,70,12999.0,0.0,33656.0,7,2005
67811.0,0.0,236358.0,236649.0,236649.0,200507,MX,0203294000,47,47,70,70,67811.0,0.0,236358.0,7,2005
17570.0,0.0,46862.0,46865.0,46865.0,200508,MX,0203194010,47,47,70,70,17570.0,0.0,46862.0,8,2005
72367.0,0.0,284663.0,285916.0,285916.0,200508,MX,0203294000,47,47,70,70,72367.0,0.0,284663.0,8,2005
6337.0,0.0,16765.0,16766.0,16766.0,200509,MX,0203194010,47,47,70,70,6337.0,0.0,16765.0,9,2005
64818.0,0.0,273982.0,275026.0,275026.0,200509,MX,0203294000,47,47,70,70,64818.0,0.0,273982.0,9,2005
26320.0,0.0,68993.0,68996.0,68996.0,200510,MX,0203194010,47,47,70,70,26320.0,0.0,68993.0,10,2005
9118.0,0.0,30979.0,31051.0,31051.0,200510,MX,0203229000,47,47,70,70,9118.0,0.0,30979.0,10,2005
161239.0,0.0,630036.0,633667.0,633667.0,200510,MX,0203294000,47,47,70,70,161239.0,0.0,630036.0,10,2005
18152.0,0.0,47001.0,47003.0,47003.0,200511,MX,0203194010,47,47,70,70,18152.0,0.0,47001.0,11,2005
87178.0,0.0,336753.0,339003.0,339003.0,200511,MX,0203294000,47,47,70,70,87178.0,0.0,336753.0,11,2005
23916.0,0.0,62276.0,62279.0,62279.0,200512,MX,0203194010,47,47,70,70,23916.0,0.0,62276.0,12,2005
135913.0,0.0,500910.0,503512.0,503512.0,200512,MX,0203294000,47,47,70,70,135913.0,0.0,500910.0,12,2005
51545.0,0.0,163491.0,165041.0,165041.0,200601,MX,0203192010,47,47,70,70,51545.0,0.0,163491.0,1,2006
19718.0,0.0,38968.0,38970.0,38970.0,200601,MX,0203194010,47,47,70,70,19718.0,0.0,38968.0,1,2006
17853.0,0.0,108835.0,109385.0,109385.0,200601,MX,0203292000,47,47,70,70,17853.0,0.0,108835.0,1,2006
28285.0,0.0,78538.0,78838.0,78838.0,200601,MX,0203294000,47,47,70,70,28285.0,0.0,78538.0,1,2006
34481.0,0.0,76430.0,76433.0,76433.0,200602,MX,0203194010,47,47,70,70,34481.0,0.0,76430.0,2,2006
45295.0,0.0,145828.0,146479.0,146479.0,200602,MX,0203294000,47,47,70,70,45295.0,0.0,145828.0,2,2006
9211.0,0.0,18606.0,18607.0,18607.0,200603,MX,0203194010,47,47,70,70,9211.0,0.0,18606.0,3,2006
84054.0,0.0,290673.0,293874.0,293874.0,200603,MX,0203294000,47,47,70,70,84054.0,0.0,290673.0,3,2006
2651.0,0.0,16363.0,17063.0,17063.0,200604,MX,0203192010,47,47,70,70,2651.0,0.0,16363.0,4,2006
12104.0,0.0,25516.0,25517.0,25517.0,200604,MX,0203194010,47,47,70,70,12104.0,0.0,25516.0,4,2006
68661.0,0.0,284639.0,286041.0,286041.0,200604,MX,0203294000,47,47,70,70,68661.0,0.0,284639.0,4,2006
1097.0,0.0,6774.0,7124.0,7124.0,200605,MX,0203192010,47,47,70,70,1097.0,0.0,6774.0,5,2006
23159.0,0.0,54417.0,54522.0,54522.0,200605,MX,0203194010,47,47,70,70,23159.0,0.0,54417.0,5,2006
3382.0,0.0,12741.0,12787.0,12787.0,200605,MX,0203194090,47,47,70,70,3382.0,0.0,12741.0,5,2006
107473.0,0.0,398823.0,401472.0,401472.0,200605,MX,0203294000,47,47,70,70,107473.0,0.0,398823.0,5,2006
2646.0,0.0,16332.0,17032.0,17032.0,200606,MX,0203192010,47,47,70,70,2646.0,0.0,16332.0,6,2006
53840.0,0.0,128976.0,129297.0,129297.0,200606,MX,0203194010,47,47,70,70,53840.0,0.0,128976.0,6,2006
10555.0,0.0,38548.0,38675.0,38675.0,200606,MX,0203194090,47,47,70,70,10555.0,0.0,38548.0,6,2006
84749.0,0.0,282317.0,285161.0,285161.0,200606,MX,0203294000,47,47,70,70,84749.0,0.0,282317.0,6,2006
1837.0,0.0,3791.0,3792.0,3792.0,200607,MX,0203194010,47,47,70,70,1837.0,0.0,3791.0,7,2006
138408.0,0.0,525316.0,528456.0,528456.0,200607,MX,0203294000,47,47,70,70,138408.0,0.0,525316.0,7,2006
22400.0,0.0,119450.0,120450.0,120450.0,200608,MX,0203192010,47,47,70,70,22400.0,0.0,119450.0,8,2006
26920.0,0.0,67336.0,67488.0,67488.0,200608,MX,0203194010,47,47,70,70,26920.0,0.0,67336.0,8,2006
5305.0,0.0,5497.0,5498.0,5498.0,200608,MX,0203194090,47,47,70,70,5305.0,0.0,5497.0,8,2006
79535.0,0.0,321502.0,323453.0,323453.0,200608,MX,0203294000,47,47,70,70,79535.0,0.0,321502.0,8,2006
22274.0,0.0,62851.0,62853.0,62853.0,200609,MX,0203194010,47,47,70,70,22274.0,0.0,62851.0,9,2006
107948.0,0.0,376161.0,378662.0,378662.0,200609,MX,0203294000,47,47,70,70,107948.0,0.0,376161.0,9,2006
23311.0,0.0,66176.0,66178.0,66178.0,200610,MX,0203194010,47,47,70,70,23311.0,0.0,66176.0,10,2006
108004.0,0.0,393139.0,395391.0,395391.0,200610,MX,0203294000,47,47,70,70,108004.0,0.0,393139.0,10,2006
9884.0,0.0,26963.0,26964.0,26964.0,200611,MX,0203194010,47,47,70,70,9884.0,0.0,26963.0,11,2006
151847.0,0.0,544978.0,547877.0,547877.0,200611,MX,0203294000,47,47,70,70,151847.0,0.0,544978.0,11,2006
25363.0,0.0,63591.0,63593.0,63593.0,200612,MX,0203194010,47,47,70,70,25363.0,0.0,63591.0,12,2006
1292.0,0.0,3063.0,3064.0,3064.0,200612,MX,0203194090,47,47,70,70,1292.0,0.0,3063.0,12,2006
97496.0,0.0,372091.0,337064.0,337064.0,200612,MX,0203294000,47,47,70,70,97496.0,0.0,372091.0,12,2006
