date,countryCode,hS10Code,censusUOMId1,censusUOMId2,fasConvertedUOMId,fasNonConvertedUOMId,quantity1,quantity2,value,mes_origen,year
199401,CA,0203121000,47,47,70,70,6003.0,0.0,10951.0,1,1994
199401,CA,0203192000,47,47,70,70,101769.0,0.0,284074.0,1,1994
199401,CA,0203292000,47,47,70,70,51710.0,0.0,160643.0,1,1994
199401,CA,0203294000,47,47,70,70,40243.0,0.0,160618.0,1,1994
199402,CA,0203110000,47,47,70,70,18634.0,0.0,33360.0,2,1994
199402,CA,0203121000,47,47,70,70,9214.0,0.0,16495.0,2,1994
199402,CA,0203192000,47,47,70,70,141170.0,0.0,310018.0,2,1994
199402,CA,0203229000,47,47,70,70,14613.0,0.0,28435.0,2,1994
199402,CA,0203292000,47,47,70,70,15926.0,0.0,92025.0,2,1994
199402,CA,0203294000,47,47,70,70,45811.0,0.0,166366.0,2,1994
199403,CA,0203110000,47,47,70,70,37644.0,0.0,48494.0,3,1994
199403,CA,0203121000,47,47,70,70,65164.0,0.0,103005.0,3,1994
199403,CA,0203192000,47,47,70,70,114870.0,0.0,339414.0,3,1994
199403,CA,0203229000,47,47,70,70,15766.0,0.0,30185.0,3,1994
199403,CA,0203292000,47,47,70,70,66697.0,0.0,265752.0,3,1994
199403,CA,0203294000,47,47,70,70,141336.0,0.0,554454.0,3,1994
199404,CA,0203192000,47,47,70,70,571492.0,0.0,1063635.0,4,1994
199404,CA,0203292000,47,47,70,70,59125.0,0.0,244519.0,4,1994
199404,CA,0203294000,47,47,70,70,73675.0,0.0,258136.0,4,1994
199405,CA,0203192000,47,47,70,70,253030.0,0.0,503596.0,5,1994
199405,CA,0203292000,47,47,70,70,19051.0,0.0,68047.0,5,1994
199405,CA,0203294000,47,47,70,70,212292.0,0.0,639330.0,5,1994
199406,CA,0203121000,47,47,70,70,50006.0,0.0,80443.0,6,1994
199406,CA,0203192000,47,47,70,70,731933.0,0.0,1119575.0,6,1994
199406,CA,0203292000,47,47,70,70,17691.0,0.0,70780.0,6,1994
199406,CA,0203294000,47,47,70,70,117631.0,0.0,290179.0,6,1994
199407,CA,0203121000,47,47,70,70,34024.0,0.0,48373.0,7,1994
199407,CA,0203192000,47,47,70,70,966803.0,0.0,1473149.0,7,1994
199407,CA,0203292000,47,47,70,70,35730.0,0.0,114070.0,7,1994
199407,CA,0203294000,47,47,70,70,132652.0,0.0,308664.0,7,1994
199408,CA,0203121000,47,47,70,70,208546.0,0.0,307941.0,8,1994
199408,CA,0203192000,47,47,70,70,1546412.0,0.0,2413827.0,8,1994
199408,CA,0203229000,47,47,70,70,22094.0,0.0,52437.0,8,1994
199408,CA,0203292000,47,47,70,70,21973.0,0.0,90243.0,8,1994
199408,CA,0203294000,47,47,70,70,118909.0,0.0,269378.0,8,1994
199409,CA,0203110000,47,47,70,70,19982.0,0.0,25300.0,9,1994
199409,CA,0203121000,47,47,70,70,584472.0,0.0,863164.0,9,1994
199409,CA,0203192000,47,47,70,70,1435560.0,0.0,2399666.0,9,1994
199409,CA,0203229000,47,47,70,70,116932.0,0.0,258250.0,9,1994
199409,CA,0203292000,47,47,70,70,7602.0,0.0,41067.0,9,1994
199409,CA,0203294000,47,47,70,70,160650.0,0.0,401784.0,9,1994
199410,CA,0203110000,47,47,70,70,24358.0,0.0,32759.0,10,1994
199410,CA,0203121000,47,47,70,70,404073.0,0.0,645139.0,10,1994
199410,CA,0203192000,47,47,70,70,1058127.0,0.0,1833696.0,10,1994
199410,CA,0203210000,47,47,70,70,20352.0,0.0,24170.0,10,1994
